,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inputs,,,,,,,,,,Outputs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,,,,,,,,,,t1,0.01,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,t2,0.99,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h1,i1*w1+i2*w2,,,,d represents partial derivative,,,,,,comments,,,,,,,,,,,,,,,,,,,
h2,i1*w3+i2*w4,,,1),d(E_total)/d(w5)=d(E1+E2)/d(w5)=d(E1+0)/d(w5)=d(E1)/d(out_o1)*d(out_o1)/d(o1)*d(o1)/d(w5),,,,,,partial derivative of E2 wrt w5 is 0,,,,,,,,,,,,,,,,,,,
out_h1,sigmoid(h1),1/(1+exp(-h1)),,a,d(E1)/d(out_o1),d(1/2*(t1-out_o1)^2)/d(out_o1),,(t1-out_o1)*(-1),out_o1-t1,,derivative of out_o1 wrt out_1 is 1,,,,,,,,,,,,,,,,,,,
out_h2,sigmoid(h2),1/(1+exp(-h2)),,b,d(out_o1)/d(o1),d(sigmoid(o1)/d(o1),,sig(o1)*(1-sig(o1),out_o1*(1-out_o1),,derivative of sigmoid is sigmoid(1-sigmoid),,,derivative of sig(x)=sig(x)*(1-sig(x)),,,,,,,,,,,,,,,,
o1,out_h1*w5+out_h2*w6,,,,,,,sig(o1) is equal to out_o1,,,,,,,,,,,,,,,,,,,,,,
o2,out_h1*w7+out_h2*w8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 out_o1,sigmoid(o1),,,c,d(o1)/d(w5),d(out_h1*w5+out_h2*w6)/d(w5),,out_h1,,,derivative of w5 wrt w5 is 1.the 2nd part doesnt apply coz w5 isnt present in it,,,,,,,,,,,,,,,,,,,
out_o2,sigmoid(o2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,1/2*(t1-out_o1)^2,,,Compilation,d(E_total)/d(w5),(out_o1-t1)*(out_o1(1-out_o1))*out_h1,,,,,we have written the outputs of all the 3 parts together(a+b+c),,,,,,,,,,,,,,,,,,,
E2,1/2*(t2-out_o2)^2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E total,E1+E2,,,2),d(E_total)/d(w6),(out_o1-t1)*(out_o1(1-out_o1))*out_h2,,,,,Here a and b will stay. part c will be changed to incorporate w6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3),d(E_total)/d(w7),d(E2)/d(Out_o2)*d(Out_o2)/d(o2)*d(o2)/d(w7),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,a,d(E2)/d(Out_o2),d(0.5*(t2-Out_o2)^2)/d(Out_o2),,t2-Out_o2(-1),Out_o2-t2,,,,,,,,,,,,,,,,,,,,,
,,,,b,d(Out_o2)/d(o2),d(sig(o2)/d(o2),sig(o2)(1-sif(o2)),Out_o2(1-Out_o2),,,,,,,,,,,,,,,,,,,,,,
,,,,c,d(o2)/d(w7),,,Out_h1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Compilation,d(E_total)/d(w7),(Out_o2-t2)*Out_o2(1-Out_o2)*Out_h1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4) ,d(E_total)/d(w8),(Out_o2-t2)*Out_o2(1-Out_o2)*Out_h2,,,,,,,,,,,,,,,,,,,,,,,,
